layer3	KEGG_ID	C00402	layer2	shared.name	rn:R00359	allosteric_activator	ec:1.4.3.1
layer3	KEGG_ID	C00711	layer2	shared.name	rn:R06124	allosteric_inhibitor	ec:1.4.3.1
layer3	KEGG_ID	C00711	layer2	shared.name	rn:R00359	allosteric_inhibitor	ec:1.4.3.1
layer3	KEGG_ID	C00025	layer2	shared.name	rn:R00716	allosteric_inhibitor	ec:1.5.1.8
layer3	KEGG_ID	C00077	layer2	shared.name	rn:R00716	allosteric_inhibitor	ec:1.5.1.8
layer3	KEGG_ID	C01602	layer2	shared.name	rn:R00716	allosteric_inhibitor	ec:1.5.1.8
layer3	KEGG_ID	C00025	layer2	shared.name	rn:R02313	allosteric_inhibitor	ec:1.5.1.9
layer3	KEGG_ID	C00021	layer2	shared.name	rn:R01269	allosteric_inhibitor	ec:2.1.1.1
layer3	KEGG_ID	C00021	layer2	shared.name	rn:R04496	allosteric_inhibitor	ec:2.1.1.100
layer3	KEGG_ID	C00021	layer2	shared.name	rn:R02056	allosteric_inhibitor	ec:2.1.1.17
layer3	KEGG_ID	C00021	layer2	shared.name	rn:R01883	allosteric_inhibitor	ec:2.1.1.2
layer3	KEGG_ID	C00021	layer2	shared.name	rn:R00367	allosteric_inhibitor	ec:2.1.1.20
layer3	KEGG_ID	C00021	layer2	shared.name	rn:R02533	allosteric_inhibitor	ec:2.1.1.28
layer3	KEGG_ID	C00021	layer2	shared.name	rn:R04033	allosteric_inhibitor	ec:2.1.1.28
layer3	KEGG_ID	C00021	layer2	shared.name	rn:R00380	allosteric_inhibitor	ec:2.1.1.37
layer3	KEGG_ID	C00021	layer2	shared.name	rn:R04858	allosteric_inhibitor	ec:2.1.1.37
layer3	KEGG_ID	C00134	layer2	shared.name	rn:R00380	allosteric_inhibitor	ec:2.1.1.37
layer3	KEGG_ID	C00134	layer2	shared.name	rn:R04858	allosteric_inhibitor	ec:2.1.1.37
layer3	KEGG_ID	C00021	layer2	shared.name	rn:R04905	allosteric_inhibitor	ec:2.1.1.4
layer3	KEGG_ID	C00021	layer2	shared.name	rn:R03130	allosteric_inhibitor	ec:2.1.1.4
layer3	KEGG_ID	C00025	layer2	shared.name	rn:R04905	allosteric_inhibitor	ec:2.1.1.4
layer3	KEGG_ID	C00025	layer2	shared.name	rn:R03130	allosteric_inhibitor	ec:2.1.1.4
layer3	KEGG_ID	C00719	layer2	shared.name	rn:R02821	allosteric_activator	ec:2.1.1.5
layer3	KEGG_ID	C00021	layer2	shared.name	rn:R02821	allosteric_inhibitor	ec:2.1.1.5
layer3	KEGG_ID	C00049	layer2	shared.name	rn:R02821	allosteric_inhibitor	ec:2.1.1.5
