layer1  rno:84027 layer3  rno:24642
layer1  rno:84027 layer3  rno:24959
layer1  rno:84027 layer3  rno:296973
layer1  rno:361696	layer3  rno:25741
layer1  rno:361696	layer3  rno:60416
layer1  rno:361696	layer3  rno:65152
layer1  rno:83840 layer3  rno:25741
layer1  rno:83840 layer3	rno:60416
layer1  rno:83840 layer3  rno:65152
layer1  rno:24679 layer3  rno:25741
layer1  rno:24679 layer3  rno:60416
layer1  rno:24679	layer3  rno:65152
layer1  rno:25636	layer3  rno:25741
layer1  rno:25636	layer3  rno:60416
layer1  rno:25636	layer3  rno:65152
layer1	rno:25725	layer3	rno:25741
layer1	rno:25725	layer3	rno:60416
layer1	rno:25725	layer3	rno:65152
layer1	rno:293508	layer3	rno:25741
layer1	rno:293508	layer3	rno:60416
layer1	rno:293508	layer3	rno:65152
layer1	rno:29699	layer3	rno:25741	
layer1	rno:29699	layer3	rno:60416
layer1	rno:29699	layer3	rno:65152
layer1	rno:24185	layer3	rno:25741
layer1	rno:24185	layer3	rno:60416
layer1	rno:24185	layer3	rno:65152
layer1	rno:25233	layer3	rno:25741
layer1	rno:25233	layer3	rno:60416
layer1	rno:25233	layer3	rno:65152
layer1	rno:29414	layer3	rno:25741
layer1	rno:29414	layer3	rno:60416
layer1	rno:29414	layer3	rno:65152
layer1	rno:25522	layer3	rno:25741
layer1	rno:25522	layer3	rno:60416
layer1	rno:25522	layer3	rno:65152
layer1	rno:84006	layer3	rno:25741
layer1	rno:84006	layer3	rno:60416
layer1	rno:84006	layer3	rno:65152
layer2	YMR300C	layer4	rno:266603
