layer3	node	KEGG_ID	C01602	layer2	edge	shared.name	ec:2.1.4.1	inhibitor
layer3	node	KEGG_ID	C00091	layer2	edge	shared.name	ec:2.3.1.21	inhibitor
layer3	node	KEGG_ID	C02990	layer2	edge	shared.name	ec:2.3.1.21	inhibitor
layer3	node	KEGG_ID	C00026	layer2	edge	shared.name	ec:2.3.1.37	inhibitor
layer3	node	KEGG_ID	C00091	layer2	edge	shared.name	ec:2.3.1.37	inhibitor
layer3	node	KEGG_ID	C00302	layer2	edge	shared.name	ec:2.3.2.2	inhibitor
layer3	node	KEGG_ID	C00149	layer2	edge	shared.name	ec:2.3.3.1	inhibitor
layer3	node	KEGG_ID	C00074	layer2	edge	shared.name	ec:2.3.3.8	activator
layer3	node	KEGG_ID	C00085	layer2	edge	shared.name	ec:2.3.3.8	activator
layer3	node	KEGG_ID	C00092	layer2	edge	shared.name	ec:2.3.3.8	activator
layer3	node	KEGG_ID	C00354	layer2	edge	shared.name	ec:2.3.3.8	activator
layer3	node	KEGG_ID	C00665	layer2	edge	shared.name	ec:2.3.3.8	activator
layer3	node	KEGG_ID	C00025	layer2	edge	shared.name	ec:2.3.3.8	inhibitor
layer3	node	KEGG_ID	C00092	layer2	edge	shared.name	ec:2.4.1.1	inhibitor
layer3	node	KEGG_ID	C00025	layer2	edge	shared.name	ec:2.4.1.11	activator
layer3	node	KEGG_ID	C00049	layer2	edge	shared.name	ec:2.4.1.11	activator
layer3	node	KEGG_ID	C00092	layer2	edge	shared.name	ec:2.4.1.11	activator
layer3	node	KEGG_ID	C16433	layer2	edge	shared.name	ec:2.4.1.11	activator
layer3	node	KEGG_ID	C00711	layer2	edge	shared.name	ec:2.6.1.1	activator
layer3	node	KEGG_ID	C00025	layer2	edge	shared.name	ec:2.6.1.1	inhibitor
layer3	node	KEGG_ID	C00026	layer2	edge	shared.name	ec:2.6.1.1	inhibitor
layer3	node	KEGG_ID	C00049	layer2	edge	shared.name	ec:2.6.1.1	inhibitor
layer3	node	KEGG_ID	C00122	layer2	edge	shared.name	ec:2.6.1.1	inhibitor
layer3	node	KEGG_ID	C00249	layer2	edge	shared.name	ec:2.6.1.1	inhibitor
layer3	node	KEGG_ID	C00311	layer2	edge	shared.name	ec:2.6.1.1	inhibitor
layer3	node	KEGG_ID	C00711	layer2	edge	shared.name	ec:2.6.1.1	inhibitor
layer3	node	KEGG_ID	C16433	layer2	edge	shared.name	ec:2.6.1.1	inhibitor
layer3	node	KEGG_ID	C00026	layer2	edge	shared.name	ec:2.6.1.13	inhibitor
layer3	node	KEGG_ID	C00077	layer2	edge	shared.name	ec:2.6.1.13	inhibitor
layer3	node	KEGG_ID	C00134	layer2	edge	shared.name	ec:2.6.1.13	inhibitor
layer3	node	KEGG_ID	C01602	layer2	edge	shared.name	ec:2.6.1.13	inhibitor
layer3	node	KEGG_ID	C00354	layer2	edge	shared.name	ec:2.6.1.16	inhibitor
layer3	node	KEGG_ID	C00025	layer2	edge	shared.name	ec:2.6.1.19	inhibitor
layer3	node	KEGG_ID	C00026	layer2	edge	shared.name	ec:2.6.1.19	inhibitor
layer3	node	KEGG_ID	C00122	layer2	edge	shared.name	ec:2.6.1.2	inhibitor
layer3	node	KEGG_ID	C00133	layer2	edge	shared.name	ec:2.6.1.2	inhibitor
layer3	node	KEGG_ID	C00158	layer2	edge	shared.name	ec:2.6.1.2	inhibitor
layer3	node	KEGG_ID	C00026	layer2	edge	shared.name	ec:2.6.1.22	inhibitor
layer3	node	KEGG_ID	C00041	layer2	edge	shared.name	ec:2.6.1.40	inhibitor
layer3	node	KEGG_ID	C00133	layer2	edge	shared.name	ec:2.6.1.44	inhibitor
layer3	node	KEGG_ID	C00025	layer2	edge	shared.name	ec:2.6.1.5	inhibitor
